"","x","y","action","timestamp","trial"
"540",1666.188,613.0231,"move",1571817569,38
"541",1663.3617,613.12054,"move",1571817569,38
"542",1663.3617,613.12054,"up",1571817569,38
"543",1516.7808,649.668,"down",1571817574,39
"544",1519.7046,650.935,"move",1571817574,39
"545",1521.7513,645.96454,"move",1571817574,39
"546",1552.5488,643.23566,"move",1571817574,39
"547",1596.5037,629.59125,"move",1571817574,39
"548",1642.0178,613.7053,"move",1571817574,39
"549",1672.4255,601.3279,"move",1571817574,39
"550",1686.4598,597.4295,"move",1571817574,39
"551",1691.0405,597.33203,"move",1571817574,39
"552",1691.0405,597.33203,"up",1571817574,39
"553",1689.2863,587.3911,"down",1571817579,40
"554",1690.0659,588.5606,"move",1571817579,40
"555",1671.1586,590.41235,"move",1571817579,40
"556",1598.9402,620.5275,"move",1571817579,40
"557",1546.2139,635.6338,"move",1571817579,40
"558",1501.6744,648.59595,"move",1571817579,40
"559",1486.1781,654.1512,"move",1571817579,40
"560",1486.1781,654.1512,"up",1571817579,40
"561",1693.2821,869.9275,"down",1571817583,41
"562",1693.2821,869.9275,"move",1571817583,41
"563",1696.4983,860.9612,"move",1571817583,41
"564",1700.5917,838.83777,"move",1571817583,41
"565",1700.1044,811.7439,"move",1571817583,41
"566",1695.7186,773.832,"move",1571817583,41
"567",1691.138,739.5261,"move",1571817583,41
"568",1684.803,697.22845,"move",1571817583,41
"569",1681.0995,669.9397,"move",1571817583,41
"570",1678.1757,650.7401,"move",1571817583,41
"571",1673.6925,625.9852,"move",1571817583,41
"572",1670.4763,619.2605,"move",1571817584,41
"573",1670.4763,619.5529,"move",1571817584,41
"574",1670.4763,619.5529,"up",1571817584,41
"575",1614.8263,586.31903,"down",1571817590,42
"576",1614.8263,586.31903,"move",1571817590,42
"577",1614.7288,583.98004,"move",1571817590,42
"578",1603.4233,597.4295,"move",1571817590,42
"579",1577.3038,641.9687,"move",1571817590,42
"580",1556.8372,684.94855,"move",1571817590,42
"581",1529.743,740.2083,"move",1571817590,42
"582",1506.1576,788.06116,"move",1571817590,42
"583",1497.9708,810.1846,"move",1571817590,42
"584",1495.8268,821.39246,"move",1571817590,42
"585",1496.0216,825.68066,"move",1571817590,42
"586",1496.0216,825.68066,"up",1571817590,42
"587",1647.4756,590.31494,"down",1571817595,43
"588",1650.2045,590.0225,"move",1571817595,43
"589",1650.7892,602.10754,"move",1571817595,43
"590",1651.374,630.2735,"move",1571817595,43
"591",1646.6959,687.28754,"move",1571817595,43
"592",1643.1873,743.03467,"move",1571817595,43
"593",1638.3143,795.4681,"move",1571817595,43
"594",1635.8778,819.5407,"move",1571817596,43
"595",1635.4879,825.4858,"move",1571817596,43
"596",1635.4879,825.4858,"up",1571817596,43
"597",1491.2461,581.1537,"down",1571817600,44
"598",1487.3477,575.7934,"move",1571817600,44
"599",1489.3943,572.5772,"move",1571817600,44
"600",1503.916,610.87897,"move",1571817600,44
"601",1529.743,656.0029,"move",1571817600,44
"602",1560.5406,696.64374,"move",1571817600,44
"603",1602.2538,749.46704,"move",1571817600,44
"604",1639.5813,791.6672,"move",1571817600,44
"605",1660.1455,811.6465,"move",1571817600,44
"606",1677.0062,828.9943,"move",1571817600,44
"607",1677.0062,828.9943,"up",1571817600,44
"608",1612.1948,860.6688,"down",1571817607,45
"609",1612.1948,860.6688,"move",1571817607,45
"610",1618.9196,856.38055,"move",1571817607,45
"611",1620.284,851.7025,"move",1571817607,45
"612",1620.1866,835.6216,"move",1571817607,45
"613",1621.9409,808.3328,"move",1571817607,45
"614",1627.9834,774.0269,"move",1571817607,45
"615",1637.4371,739.0388,"move",1571817607,45
"616",1651.9587,695.864,"move",1571817607,45
"617",1661.9972,663.9946,"move",1571817607,45
"618",1668.4297,642.16364,"move",1571817607,45
"619",1673.7899,625.79034,"move",1571817607,45
"620",1676.4214,618.38336,"move",1571817607,45
"621",1676.7137,619.5529,"move",1571817607,45
"622",1676.7137,619.5529,"up",1571817607,45
"623",1523.2133,593.3362,"down",1571817613,46
"624",1523.2133,593.3362,"move",1571817613,46
"625",1523.3107,592.5565,"move",1571817613,46
"626",1527.5015,600.1584,"move",1571817613,46
"627",1537.6373,617.40875,"move",1571817613,46
"628",1552.159,642.456,"move",1571817613,46
"629",1578.0836,679.58826,"move",1571817613,46
"630",1605.47,716.9154,"move",1571817613,46
"631",1635.293,761.8444,"move",1571817613,46
"632",1650.5944,786.7942,"move",1571817613,46
"633",1659.3658,804.04456,"move",1571817613,46
"634",1665.2134,817.9814,"move",1571817613,46
